what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1437662695151
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1437662695152
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1437662695153
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1437662695154
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1437662695155
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1437662695155
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1437662695156
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1437662695156
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1437662695157
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1437662695157
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1437662695158
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1437662695159
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1437662695160
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1437662695161
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1437662695161
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1437662695162
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1437662695165
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1437662695166
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1437662695167
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1437662695168
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1437662695169
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1437662695170
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1437662695170
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1437662695172
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1437662695172
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1437662695172
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1437662695173
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1437662695175
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1437662695176
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1437662695177
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1437662695178
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1437662695179
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1437662695179
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1437662695179
os,sysinfo,,,"macosx",1437662695181
arch,sysinfo,,,"x86_64",1437662695181
ws,sysinfo,,,"cocoa",1437662695181
locale,sysinfo,,,"en_US",1437662695181
processors,sysinfo,,,"8",1437662695181
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1437662695181
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1437662695181
java.specification.name,sysinfo,,,"Java Platform API Specification",1437662695181
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1437662695181
java.specification.version,sysinfo,,,"1.6",1437662695181
java.vendor,sysinfo,,,"Apple Inc.",1437662695181
java.version,sysinfo,,,"1.6.0_65",1437662695181
java.vm.info,sysinfo,,,"mixed mode",1437662695181
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1437662695181
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1437662695181
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1437662695181
java.vm.specification.version,sysinfo,,,"1.0",1437662695181
java.vm.vendor,sysinfo,,,"Apple Inc.",1437662695181
java.vm.version,sysinfo,,,"20.65-b04-466.1",1437662695181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662695570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662728778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662758748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662761290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662796698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662799695
error,log,,,"Internal Error",1437662799824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662808884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662815953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662841298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662845472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662865958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662870204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437662886782
